iter	MultiClass
0	2.658373118
1	2.362286794
2	2.092173126
3	1.862138147
4	1.659392071
5	1.502851652
6	1.379094163
7	1.273051318
8	1.172997832
9	1.077540848
10	1.004835379
11	0.9343811521
12	0.8713345317
13	0.816667415
14	0.7675730442
15	0.7213943911
16	0.6764169821
17	0.6393777895
18	0.6043779547
19	0.577130872
20	0.5512136922
21	0.525105607
22	0.4999335757
23	0.4748319344
24	0.4525465007
25	0.4288862812
26	0.4091065146
27	0.3902778191
28	0.3722400622
29	0.355747073
30	0.3416276591
31	0.3278385904
32	0.3148202264
33	0.3037090231
34	0.291427028
35	0.2812921958
36	0.2714119811
37	0.2615328465
38	0.25335526
39	0.2453516175
40	0.2377367059
41	0.2298683773
42	0.2222912564
43	0.2160915467
44	0.2090409703
45	0.2032868177
46	0.1972070996
47	0.1915767114
48	0.1847967591
49	0.1794064832
50	0.1744936446
51	0.1698656881
52	0.1649724454
53	0.160933549
54	0.1566156379
55	0.152910203
56	0.1490890831
57	0.1459404179
58	0.1425298606
59	0.1390532107
60	0.1354668013
61	0.1329297096
62	0.1304938502
63	0.1274462721
64	0.1248738066
65	0.1218593898
66	0.1190682892
67	0.1169915602
68	0.1146372119
69	0.1124959299
70	0.1106049862
71	0.1086033979
72	0.1067210399
73	0.1042063644
74	0.1023258009
75	0.1000948306
76	0.09816747054
77	0.09602500038
78	0.09450348312
79	0.09281536183
80	0.09093529137
81	0.08934980546
82	0.08766345514
83	0.08625432305
84	0.08491558177
85	0.08370721323
86	0.08237115844
87	0.08111589779
88	0.07971935019
89	0.07836757082
90	0.07733581433
91	0.07626893979
92	0.07509856575
93	0.07379680794
94	0.07305838791
95	0.07204503561
96	0.07123587447
97	0.07051180707
98	0.06946419641
99	0.06880674425
100	0.06786104443
101	0.06719725598
102	0.06614828495
103	0.06522548778
104	0.06417109598
105	0.06319048117
106	0.06234334941
107	0.06153888122
108	0.06044076853
109	0.05969857031
110	0.05894328701
111	0.05802376768
112	0.05738955096
113	0.05658780818
114	0.05586426731
115	0.05531142818
116	0.05450824959
117	0.05384326984
118	0.05293413001
119	0.05233730183
120	0.05180318225
121	0.05121985416
122	0.05054583803
123	0.05004295486
124	0.04954245167
125	0.04912112198
126	0.04843809509
127	0.04785293723
128	0.04724081942
129	0.04686955046
130	0.04620860253
131	0.04555090638
132	0.04510822742
133	0.04481741766
134	0.04426265487
135	0.04383476822
136	0.04346855287
137	0.04290933448
138	0.04241622099
139	0.04209749211
140	0.04179161745
141	0.04145948268
142	0.04110333839
143	0.04078639143
144	0.04050898586
145	0.04020915614
146	0.03988415612
147	0.03947051156
148	0.03901114365
149	0.03862891718
150	0.03829024738
151	0.03792702124
152	0.03765553607
153	0.03727588233
154	0.03690718803
155	0.03666553039
156	0.03636390372
157	0.03615020248
158	0.0359297608
159	0.03565330871
160	0.03540920472
161	0.03516211996
162	0.03486142407
163	0.03458454743
164	0.03434187004
165	0.03411478251
166	0.03380069329
167	0.03353210834
168	0.03324656566
169	0.03306785962
170	0.03277444533
171	0.03256486013
172	0.03226961618
173	0.03203836748
174	0.03185966908
175	0.03160318609
176	0.03133273701
177	0.03112282298
178	0.03088251289
179	0.03071488305
180	0.03044290157
181	0.03018528896
182	0.0300082286
183	0.0297557469
184	0.02949162727
185	0.02938825297
186	0.02924077611
187	0.02905644883
188	0.02887201267
189	0.02861218502
190	0.02847074163
191	0.0282879939
192	0.02796440052
193	0.02780735889
194	0.02762824975
195	0.02748989066
196	0.02736377808
197	0.02725683781
198	0.02703414163
199	0.02678414414
200	0.02660088154
201	0.02643554784
202	0.02627285871
203	0.0260595462
204	0.02581417549
205	0.02569403839
206	0.0255592757
207	0.02542460957
208	0.0252740166
209	0.02508708081
210	0.02499176928
211	0.02485496938
212	0.02475614622
213	0.02459498558
214	0.02444907228
215	0.02428871573
216	0.02407954157
217	0.02393876349
218	0.02378418226
219	0.02364130086
220	0.02351902234
221	0.02334323908
222	0.02318526412
223	0.02305004936
224	0.02291096547
225	0.02278804723
226	0.02269428684
227	0.02260020642
228	0.02246633275
229	0.02236682197
230	0.02226652056
231	0.02210405769
232	0.02200052273
233	0.02184812207
234	0.02175773435
235	0.02163731078
236	0.02148788134
237	0.02133804832
238	0.02125614112
239	0.0211556857
240	0.02098655259
241	0.02090180587
242	0.02082488907
243	0.02071081074
244	0.02059884329
245	0.02044092969
246	0.02033901281
247	0.02023168294
248	0.02014377692
249	0.02003392103
250	0.01996860042
251	0.01983314038
252	0.01974557311
253	0.01965217003
254	0.01956965268
255	0.01948440503
256	0.01932497134
257	0.0192297081
258	0.0191403213
259	0.01904456649
